"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PITPNM3",2745.45543211159,8.25455732811494,0.298142340963703,27.6866321684912,1.01151967690751e-168,2.09667798629388e-164
"AIF1L",4627.83884301304,6.91637066764235,0.276316441989222,25.0306156877632,2.83885599947135e-138,2.9421903578521e-134
"CXCL6",789.310201605227,8.33392039094977,0.345065033037513,24.151738347953,7.15913806936147e-129,4.94648713005748e-125
"NR5A1",1873.28348517461,10.5441878566776,0.456638046761735,23.0909095977701,5.71383706362683e-118,2.96091036637142e-114
"GIPC2",657.106327745892,4.91851078610723,0.214415982423825,22.9391052406955,1.89282466039433e-116,7.84689391213073e-113
"CPLX3",713.295502321722,7.86386151940821,0.361108941313344,21.7769781352064,3.83551627995895e-105,1.32504302418315e-101
"LIMCH1",3157.21068722626,5.32507960546672,0.245949430192067,21.6511158464903,5.93264794177543e-104,1.75674180767316e-100
"PTPRH",610.221266954967,8.08265819951216,0.383042596605876,21.1011993734698,7.75441276039932e-99,2.00916834621946e-95
"KAZN",1728.13608292728,6.61311538770198,0.319448992718555,20.7016316796727,3.34840096529941e-95,7.71173946763625e-92
"HSD17B6",482.893655208296,6.18375430184422,0.309575496126118,19.974947562791,9.09793283811529e-89,1.88581951868454e-85
"CCM2L",801.56068144945,5.74753752598897,0.292086159043075,19.6775415336998,3.35906323796292e-86,6.32969661786322e-83
"TCF21",971.330288383961,8.97660714052923,0.477007244742265,18.8185970747246,5.31739431445162e-79,9.18491244582943e-76
"AFAP1L2",1818.23364784434,3.68999901079096,0.196767311003145,18.7531099143393,1.82594380208992e-78,2.91139716382461e-75
"LMAN1L",577.705023758627,7.68535224470026,0.412675019442627,18.6232553040898,2.081664601606e-77,3.08205313300636e-74
"NOS3",1430.508924546,4.76473954826064,0.260319661311052,18.3034178988398,7.77168058689376e-75,1.07394263470089e-71
"MEST",1166.79430366437,3.99875829030009,0.218981499128899,18.2607129196166,1.70056183204393e-74,2.20307785341291e-71
"PCDH17",1480.66310572162,5.23312263992682,0.291406214818649,17.9581710128714,4.14233617210578e-72,5.05072612796521e-69
"ABLIM2",474.566314803436,4.58888343993537,0.257028038162836,17.8536297936031,2.70846487581857e-71,3.11894777477596e-68
"SMOC1",630.667292131807,4.88982446122589,0.275180113589026,17.7695415466275,1.21681114473998e-70,1.32747691621949e-67
"NTN4",3417.72944842911,5.97526852933984,0.339595577936964,17.5952483410988,2.6787886969522e-69,2.77629660552126e-66
"FAM110B",561.198146063867,5.1360329346287,0.307613756293076,16.6963694878957,1.39286181074987e-62,1.37482093396302e-59
"GDPD2",706.38760967532,10.3500554972356,0.627599166777568,16.4915061158834,4.22290461771667e-61,3.97874395072868e-58
"GSDMC",278.989412480703,7.5010218901475,0.462285859488018,16.2259384235868,3.30625575757665e-59,2.97965518882821e-56
"PCSK6",2073.08814687468,5.13550996234585,0.319750027384499,16.0610149257952,4.78654644890981e-58,4.1339806163751e-55
"CLIC5",1479.56249278496,4.66925295163719,0.292088805963598,15.9857305596953,1.60672193401787e-57,1.33216528993289e-54
"SEMA3D",1875.70002662463,3.78933420380339,0.237273288539508,15.9703362613126,2.05674104650545e-57,1.63969724661404e-54
"EPHA7",189.927828803761,7.33427465986499,0.466431706754889,15.7242197596125,1.03214450739123e-55,7.92381161081679e-53
"FGFR4",242.426095423419,4.35667183769938,0.281237380277235,15.4910838431389,3.98515078931152e-54,2.95015019860176e-51
"NOX5",276.653298191853,7.41708391302536,0.482554081687545,15.3704718175567,2.58281393852276e-53,1.84608852819654e-50
"FGF12",278.468135549083,5.67026413964091,0.371324366202793,15.2703799043023,1.20469190950306e-52,8.32361796672648e-50
"ITGB4",1218.88156887747,2.98357950577098,0.197327824351626,15.119912843383,1.19700929680696e-51,8.00374474329509e-49
"NDRG4",660.614738290901,2.71697192007619,0.182484619347748,14.8887721594697,3.89863458884575e-50,2.52534055492483e-47
"ST6GALNAC1",257.10742844474,4.45902430687954,0.301407769312223,14.7939925936697,1.60164391378125e-49,1.00602651651084e-46
"HYAL1",764.273989961223,5.11479419161765,0.346890304061621,14.7447020909211,3.32785029171187e-49,2.02881414254717e-46
"ZBTB7C",217.352168894671,5.33563411371061,0.367179811370383,14.5313929265257,7.66458727643489e-48,4.53918757331264e-45
"SCUBE1",145.473783037593,6.64840529549495,0.458408376118519,14.503236942983,1.15568858790336e-47,6.65419806946136e-45
"CACNA1D",116.094178064261,4.49466400133199,0.31433461217748,14.2989789453864,2.22043438873548e-46,1.24392335161376e-43
"MAATS1",364.188918915989,4.57947755322467,0.32299776581122,14.1780471506456,1.25284659148696e-45,6.83394846008991e-43
"WT1",267.901104847476,8.72648617274813,0.618388429484392,14.1116582340071,3.21918237808483e-45,1.71095416238314e-42
"CRHBP",398.843931741504,5.09123321343109,0.363624268608076,14.0013570406615,1.52922552229148e-44,7.73116746977019e-42
"SLC9A5",373.426111409683,3.96682407378398,0.283289603718357,14.0027167312774,1.50024260863451e-44,7.73116746977019e-42
"FAM124A",257.746803172357,3.76544414205455,0.269418652823561,13.9761820593784,2.17866028774426e-44,1.07522072486579e-41
"CTNND2",203.861979438762,5.29465555427334,0.379461207258596,13.9530878334689,3.01273950390546e-44,1.45228056830122e-41
"TMTC1",2155.77966359266,3.75447897322457,0.270920965564532,13.8582075602793,1.13472543730573e-43,5.34558837828934e-41
"NRXN3",164.343383460353,3.31360760655555,0.240262685573163,13.7916031307597,2.86325539819849e-43,1.31887906430796e-40
"GABRB2",106.467340933329,5.59054435445236,0.407588273545596,13.7161560263263,8.12607985681168e-43,3.66168224504332e-40
"CAMK1G",84.8530757677797,4.33050014378848,0.316796695032276,13.6696506361825,1.54133413294487e-42,6.79761146971942e-40
"HSPA12B",480.681273188843,3.64121025549398,0.267072670512695,13.6337808301539,2.521698755679e-42,1.08895357932738e-39
"HMCN1",359.705846890068,3.66660375743057,0.271145922524746,13.5226217797759,1.15002972210223e-41,4.86486042443572e-39
"EFR3B",138.072926304455,3.53383035323991,0.261989031785473,13.488466784875,1.82863821798078e-41,7.58080259646113e-39
"VSTM2L",226.624030776712,5.65854484325297,0.420835708893049,13.4459712511968,3.25108833709923e-41,1.32134429512535e-38
"HBA2",177.661645620026,5.56017804390885,0.413651641340231,13.4416922072251,3.44468141388413e-41,1.37310300667289e-38
"DOCK5",928.786144642699,3.2728735714362,0.246477511863012,13.2785889742964,3.0814605246091e-40,1.20514176894523e-37
"DPP6",124.897202781849,6.7178498101798,0.510168091173146,13.1679145097686,1.34255097896571e-39,5.15340679481505e-37
"LAMC3",464.623738169254,6.09433852342886,0.467325594947323,13.0408832499658,7.1622482367479e-39,2.69925602638746e-36
"MYO10",687.622171752963,3.45619375664417,0.266165599709527,12.9851256526613,1.48594107555897e-38,5.50010475253327e-36
"CHMP4C",96.2960412821372,4.87805719012657,0.375887901346564,12.9774253777566,1.64311532086304e-38,5.97517445102615e-36
"PDE2A",2719.24492252998,4.37674420010978,0.339427141401776,12.8945027260772,4.83371009511658e-38,1.72746798019959e-35
"CHODL",137.66078191112,5.13150426025079,0.399759564329123,12.8364765177351,1.02431295967311e-37,3.59863712340749e-35
