"","logFC","logCPM","PValue","FDR"
"GDPD2",10.2204522358188,5.77084322590248,1.38024391924456e-145,2.2321304662023e-141
"NR5A1",10.4884341442802,7.17519140894333,4.51649757044556e-145,3.65203993546228e-141
"CXCL6",8.31217256686185,5.92989729005237,2.41918542040854e-144,1.30410222062823e-140
"PITPNM3",8.25568977230022,7.72629902766561,2.82353074012183e-111,1.14155347823126e-107
"PTPRH",8.05354483637668,5.56033753792814,1.20877340150766e-103,3.90965668983637e-100
"CPLX3",7.84687518993797,5.78570392431451,3.13974074714318e-98,8.46264789379992e-95
"AIF1L",6.92861936565145,8.47915139058255,2.27596556049919e-89,5.25813072062755e-86
"GIPC2",4.92545380750558,5.66616582332465,4.3889217272123e-87,8.87220527155967e-84
"CRABP1",9.67985432118126,3.90426288620823,3.06591669962495e-78,5.50911165181496e-75
"HSD17B6",6.18678727048037,5.22398729113656,4.40803235015524e-77,7.12866991667105e-74
"TCF21",8.95144960225389,6.22775432601084,8.7381816718874e-77,1.28467158179785e-73
"NKX2-3",9.85082136960522,4.53272344761631,1.59125568112921e-76,2.1444822396018e-73
"WT1",8.61671185850799,4.37989103110635,1.88414111943131e-73,2.34387155257255e-70
"KAZN",6.62367441468796,7.05915380839325,6.14195855084381e-72,7.09483954887472e-69
"LMAN1L",7.6719857879505,5.48205482754852,1.02438327491701e-71,1.10442175479719e-68
"LIMCH1",5.33329158977555,7.92798966575393,3.49847607750886e-70,3.53608469534208e-67
"EPHA7",7.27589093328474,3.88737383324092,3.87661710959297e-70,3.68780305272574e-67
"CCM2L",5.75197739173752,5.95261921291954,7.12035384421236e-69,6.39724235381124e-66
"GSDMC",7.4615218496447,4.43802448837897,1.59718435182503e-64,1.35945607040602e-61
"AFAP1L2",3.7048260609235,7.13103235798921,1.16046079002014e-61,9.38348594810283e-59
"NOS3",4.77543785766861,6.78585833167891,6.71717202758074e-61,5.17286219190646e-58
"ABLIM2",4.59934558089233,5.1983361719303,4.96977698717196e-60,3.65323788347932e-57
"MEST",4.01104295297436,6.49292042715426,8.78398018992358e-60,6.17628381006279e-57
"SMOC1",4.89670879149992,5.60761182362811,2.83990001133226e-58,1.91361929096939e-55
"PCDH17",5.24347065228007,6.83634067530937,1.01188883277433e-57,6.5457064814506e-55
"CHST9",10.5439660191293,2.70531974866425,2.98097294475345e-57,1.85416517163664e-54
"FAM110B",5.14875694817084,5.43883808517322,5.79565710486085e-55,3.4713839518448e-52
"NOX5",7.37202796457704,4.42529415162676,4.76945033205533e-52,2.75469824178567e-49
"NTN4",5.98636116593533,8.04211581245182,7.21435054784681e-50,4.02311989861305e-47
"CHRNA4",9.68101120086848,3.21809926486796,5.70385529717971e-49,3.07475826219967e-46
"PPBP",8.24520341883255,2.50085338535743,8.16952285275415e-49,4.26185559918516e-46
"SCUBE1",6.60397811430766,3.50707623695034,4.28946211248754e-48,2.16778691509839e-45
"LOC101928658",8.06170637041124,3.82830367848054,8.12700454512639e-48,3.98272477284194e-45
"SEMA3D",3.80132403074879,7.17681375030662,2.63192013831673e-47,1.25186507284877e-44
"CLIC5",4.67658318260865,6.83448805388214,4.3370738632122e-47,2.00397595759622e-44
"PCSK6",5.14480360026354,7.32086189287393,9.46786845926187e-46,4.2531769089773e-43
"FGF12",5.67321765238935,4.43474457457347,1.59461846984498e-45,6.96977564711704e-43
"AMHR2",7.51586171331987,2.24477319210114,9.31469281956932e-44,3.9641371652125e-41
"DPP6",6.66607370290617,3.29188418358256,3.58171882566239e-43,1.48521940637467e-40
"FGFR4",4.35637926613474,4.23511769391606,1.40549275879819e-42,5.68240722382107e-40
"HYAL1",5.12901909235472,5.88471685104817,3.95811739025652e-42,1.56123596183484e-39
"ITGB4",2.99543579125692,6.55478663803092,5.12251555825333e-42,1.97241241923983e-39
"BCHE",5.98426413216661,2.63075406176628,8.79372589093791e-42,3.30725895600576e-39
"MAP3K15",6.49117658030901,2.30002240152658,4.93876029818107e-41,1.81521889868601e-38
"SNTG1",9.84393754083791,2.02642520891748,1.13355128814302e-40,4.07373142929976e-38
"OR5AK4P",10.2321747836751,2.40177708467196,1.69864072912266e-40,5.97182997203731e-38
"ZBTB7C",5.33400752181462,4.07907064758266,1.75594380314839e-40,6.04194110308844e-38
"GABRB2",5.56311028524549,3.06470423132955,2.06439603127806e-40,6.95529429538099e-38
"NDRG4",2.73014998385754,5.67182809256283,2.13251461627912e-40,7.03816864785019e-38
"ST6GALNAC1",4.45914862442906,4.32051095052623,8.84129008128274e-40,2.85962686389009e-37
"MAATS1",4.58594783363692,4.81933412780953,3.50475199615081e-39,1.11134998591669e-36
"SLC9A5",3.97740256952782,4.85390227691987,1.13147596738185e-38,3.51889025855756e-36
"TMTC1",3.76985954071693,7.37664746263511,1.2454290064392e-38,3.80020337587447e-36
"CACNA1D",4.49270927573029,3.1851227270317,2.44373579815382e-38,7.31853617180436e-36
"NKX2-5",10.9463933156757,3.09917243902665,2.54814160783744e-38,7.49246292399039e-36
"CRHBP",5.09916782661279,4.94869368068841,5.31441682970135e-38,1.53472766017732e-35
"TLX1",9.23099655336486,4.9808594340983,1.02813971790634e-37,2.91703079262831e-35
"CTNND2",5.2926260088068,3.98863409617022,1.989815505806e-37,5.54815454480941e-35
"FAM124A",3.77598570711541,4.32251253382234,2.52398549392492e-37,6.91828701826336e-35
"KCNB2",5.70483755027648,2.14112204143045,3.38751855622487e-37,9.13049168187809e-35
"HSPA12B",3.6491288323395,5.21581744613874,4.28175528850145e-37,1.13515650042042e-34
"DOCK5",3.28599977393159,6.16328262405677,5.3313640026482e-37,1.3906261072714e-34
"CDH19",5.54826859630403,2.49658994493337,1.06432635936611e-36,2.7321088704236e-34
"LRTM1",7.60597633924583,1.87973155904841,1.128220208728e-36,2.85087143992956e-34
"MYO10",3.47101562730522,5.73018661597002,4.96006135710332e-36,1.23406326564731e-33
"VSTM2L",5.66076707026329,4.14048363724434,2.13093764380088e-35,5.22144296599209e-33
"HMCN1",3.6736784758928,4.8003248843123,2.26981856009884e-35,5.47873220207738e-33
"CAMK1G",4.32251942152537,2.74375552558047,3.54066086783504e-35,8.42052464038651e-33
"RALYL",7.64919757649009,1.26430153653084,1.77874390705466e-34,4.16896325578086e-32
"KLK6",9.92747193588034,2.10671484856467,1.94050500522352e-34,4.48312099206782e-32
"FLJ46026",8.68900036711726,2.25091675215483,3.13088793145283e-34,7.1313689616134e-32
"LOC100130238",9.8686899714477,3.40865435184113,4.5639327947953e-34,1.02511001607541e-31
"HBA2",5.54172828602004,3.79248280830635,4.77270394712529e-34,1.05731737305356e-31
"KIF17",4.26339235498284,4.88131881016488,8.73282166536236e-34,1.90847556719243e-31
"INSR",3.65138885245358,7.02335567486187,1.10487275963909e-33,2.38240030251778e-31
"IGFBP2",4.31523911774966,6.13030541143234,1.78976229964272e-33,3.80842577760817e-31
"LOC339978",10.1838836743439,2.3547621059071,3.20244832730848e-33,6.72597329210814e-31
"CDH4",8.23388221729868,1.81420376340676,3.90377228188881e-33,8.09382119778279e-31
"VEPH1",6.42542973632771,2.70125540105551,4.49690304465942e-33,9.20555899218128e-31
"CHODL",5.12339318780455,3.42677682181407,1.29143128546233e-32,2.6106283435621e-30
"NR0B2",7.07888927515575,2.43680482064308,1.41519993508499e-32,2.82550782101167e-30
"PDE2A",4.39259554210277,7.71187779789301,2.86369778093925e-32,5.64777079431092e-30
"OR5AK2",9.23291674484837,1.44401713424773,7.14413351555386e-32,1.39198707486189e-29
"CHMP4C",4.86075996004637,2.92304934392171,1.09918131061698e-31,2.11618573277354e-29
"EPHA8",8.11072396915132,1.70106995948131,1.88117209715309e-31,3.57909590060702e-29
"NRXN3",3.31803465291943,3.6788308656812,1.98278953521178e-31,3.72856655388895e-29
"PLCE1",3.70869819603977,4.89864582851486,2.76209500529541e-31,5.13432188800429e-29
"DHCR24",3.89379663385993,8.28761421082834,3.30536693647509e-31,6.07436296553126e-29
"LINC00704",6.49640447901169,1.28059051593193,3.89725906668594e-31,7.08162625016237e-29
"CHRM4",6.98895991418563,3.60433511231387,4.53219846649151e-31,8.14385706667786e-29
"LEPREL1",4.27920420873165,6.02737769779546,5.68652309687842e-31,1.01057639035954e-28
"TBX15",-6.51351800005553,2.45711688666799,7.74704568032623e-31,1.36179589937213e-28
"EFR3B",3.53855187020605,3.43270768774198,1.72774806176812e-30,3.00442383386173e-28
"FAM107A",3.05698330771851,5.36221118715028,1.75646771753603e-30,3.02187190723326e-28
"SEMA6B",4.31463210017903,5.00080939037484,3.14310106115132e-30,5.35055056430938e-28
"CXCR1",5.51430095325151,4.25941006739137,6.33406403435921e-30,1.06702587045476e-27
"IGSF21",5.60692255289821,3.60265572985261,1.62407686822454e-29,2.70768774360074e-27
"OLFML2A",3.8860718422069,6.87766539245621,1.68673449411793e-29,2.78345614682399e-27
"LAMC3",6.0855312730195,5.16887603777856,2.13411492831997e-29,3.48615218391824e-27
"NPM2",4.44502722459117,2.23176103679473,2.89932820164525e-29,4.6887935677007e-27
"NR5A2",-4.60497734254032,2.54575626965745,3.44414499072396e-29,5.51472403861266e-27
"HSPB8",2.28410546211633,6.04064544695914,4.17369639445397e-29,6.61735471481467e-27
"PTPRB",3.26105742021914,7.24619249379963,1.10912052392919e-28,1.74142690417309e-26
"TEK",2.90749339734875,6.16933889062029,1.24541296324865e-28,1.93661715785165e-26
"SFTPB",7.09997156548327,2.4610049076623,1.72313624700092e-28,2.63807268527983e-26
"C1orf115",2.61343597516791,6.38466246917379,1.72913495325045e-28,2.63807268527983e-26
"FHOD1",2.74926811719586,7.441888458811,2.27991414513796e-28,3.44586650048327e-26
"HCAR2",4.75051711365925,4.17766872777873,2.54190455818985e-28,3.80626671435613e-26
"EFHD1",4.0066727696042,5.44704412014302,3.20014709219102e-28,4.74796135549662e-26
"GKN1",8.11162906259319,1.6976654816031,5.49627313417822e-28,8.08052082963002e-26
"LOC100507472",8.64709060482162,0.897987921967742,5.6856793794681e-28,8.28367629952776e-26
"LOC101929636",5.61442155882888,1.93248528376378,7.10403857317969e-28,1.02577242683448e-25
"FADS6",9.07550530934442,1.29564642755775,2.04059741903957e-27,2.92040189917769e-25
"SHANK3",4.22047309488409,7.69546062606223,3.11221950399643e-27,4.41498366830089e-25
"HCAR3",5.04041434576556,3.83691252826361,3.27654342888327e-27,4.60767481146959e-25
"TMEM26",3.68149278977312,4.29263370144416,3.5245304244309e-27,4.91368155378418e-25
"CPXM2",2.65740316903153,5.20424449530937,3.56514894421052e-27,4.92782809621988e-25
"C1QTNF1-AS1",6.29134921381268,1.68540648593055,3.86730526041944e-27,5.30017463317823e-25
"WT1-AS",6.91809867688112,1.23320573040594,4.27956550659195e-27,5.81589356072311e-25
"AC091969.1",9.56221825701402,1.75656386230471,4.56044385192739e-27,6.14595816444747e-25
"GATA6-AS1",4.73504108954631,3.81738151742527,5.59424619315722e-27,7.47687185419327e-25
"CSMD3",9.06486943915164,1.28632299413277,7.66034096712201e-27,1.01543470590407e-24
"ASB9",3.85210214476812,3.16020747043161,1.10685606474569e-26,1.45529075439572e-24
"RAB11FIP5",3.27193404075389,6.59387121493659,1.15158854498693e-26,1.50189435076844e-24
"LINC00482",6.19724030474936,1.83325232250699,1.49222477504732e-26,1.93058072496522e-24
"CXCR2",5.13516331723828,5.00484129566481,1.65081969039732e-26,2.11881397088139e-24
"TSPAN12",2.48041415432071,5.06315225090812,2.82310526775989e-26,3.59490223544984e-24
"ABHD6",2.27105705983839,5.64020604132306,2.94186971048084e-26,3.71686851233564e-24
"RTN1",2.54635787556943,5.29009220426301,6.0553978285262e-26,7.59130958782369e-24
"GJA1",-2.80947838424458,5.29048580833084,8.69601204340677e-26,1.0817838981998e-23
"LAMC2",-3.14331607675189,4.81431582271814,8.82685505783957e-26,1.08967862591894e-23
"SPTB",3.4817667808074,2.98067988336698,9.05009906381476e-26,1.1087742580304e-23
"RAG1",3.79378208811745,3.32185118816945,1.07318482646145e-25,1.30492819650636e-23
"CXCL1",5.10984354668303,5.4714347729876,1.16627828077745e-25,1.40754122065171e-23
"RP11-46C24.3",8.83494939997025,1.07117358859091,1.30725019669264e-25,1.56598890228988e-23
"TCF23",8.63202874518332,0.884236437480388,1.35820372787787e-25,1.61506402112066e-23
"WBSCR17",5.97712002697988,2.7240062656594,1.89415544685677e-25,2.235932984421e-23
"RP11-844P9.2",5.51438314358639,1.38426700019714,2.2591302834426e-25,2.64743876404592e-23
"SELP",-3.09069288528714,3.96483494323953,2.385356343045e-25,2.77525055969236e-23
"MAGI1",2.78471521834452,5.69529686369204,3.84213429885173e-25,4.43821399150215e-23
"NTS",-6.09291604338264,2.96145171921907,6.65739648320564e-25,7.6357032571916e-23
"STON2",3.71107023919803,5.47133674163612,7.45471015252035e-25,8.4899699004619e-23
"ITGA2",2.72565374318561,4.90194580690012,1.03157676074361e-24,1.1666195366955e-22
"EDN3",5.07293374859281,3.14088154423414,1.28437497124912e-24,1.44242444687783e-22
"TRHDE",4.85854432361283,3.51196272819939,1.4571054945137e-24,1.62512483153625e-22
"PDPN",-4.624502085453,3.56265000160798,1.79520149740322e-24,1.98849305589075e-22
"CYYR1",2.32917291719154,5.69396352270142,2.47114165943458e-24,2.71859203512762e-22
"PHACTR3",5.07223024600137,2.48494461605051,3.35510533728997e-24,3.66613266990901e-22
"DHRS2",8.15324258669705,3.90846859614539,3.52908153296564e-24,3.83035614437049e-22
"EBF3",-6.31710837909995,4.49858048613469,3.71190278618979e-24,4.00192612388409e-22
"RNF144A-AS1",5.08252942488562,3.78637503374375,3.81918679969239e-24,4.09032376984274e-22
"ENTPD3",4.11740938482697,2.63563061743417,4.20240168734663e-24,4.47113421630064e-22
"RP11-129J12.2",5.97278371612818,0.803776712613758,4.72358437221886e-24,4.99279780833486e-22
"MEG9",4.98066471236245,1.06375603816051,5.06024357239893e-24,5.3139129255088e-22
"GDPD5",3.07116084551798,6.46200731899958,5.24533453893935e-24,5.47274517185337e-22
"LIMS2",2.1520030987458,6.28619673686056,1.01743534343229e-23,1.05474130602481e-21
"LRFN2",5.81690058639824,0.984655381792317,1.07148535326986e-23,1.10369816134268e-21
"GREM2",4.02794658918079,2.80099789794414,1.50432182207809e-23,1.53974003206626e-21
"RP3-323P13.2",6.747137277899,2.35064809549766,1.90618595546899e-23,1.93879492275751e-21
"WSCD1",3.28972304906633,5.27215340782633,2.84199455425241e-23,2.87254599571062e-21
"PRRX1",-4.3061630507273,6.11149847986275,2.89087058894603e-23,2.90379870586554e-21
"TLX1NB",8.90510980495281,1.13674863860162,3.4065596773145e-23,3.40067179639074e-21
"CCNJL",3.05613443075872,3.18459600257448,3.43054342212303e-23,3.40360418543397e-21
"ADRA1B",3.51130774423491,3.88990250636937,4.51464274059536e-23,4.45187819517733e-21
"PLA1A",-3.87487937324639,3.86469023625691,6.31668000728219e-23,6.19111206531925e-21
"PLK2",3.15766190886204,6.79939121216352,6.56700221611648e-23,6.39768432765276e-21
"CASKIN2",3.2209832332873,5.89236660648824,6.68919194943251e-23,6.47770132971393e-21
"CABP4",2.95353912920379,3.65651940671615,7.48305643638974e-23,7.20333266007708e-21
"CD36",3.77987321680388,8.56556168769432,8.2194394193619e-23,7.86537125975862e-21
"NDST3",3.93392658810149,2.61147273276253,9.09995486901015e-23,8.65673353774307e-21
"EVA1A",4.48931127120029,2.41453734387013,1.15067592807872e-22,1.08822988940871e-20
"MADCAM1",4.61135922665584,2.72152442276104,1.62373415564229e-22,1.52668771889809e-20
"KCNJ12",3.92506477902657,1.93994533919932,1.75514467330474e-22,1.64070518246729e-20
