"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","69/1070","496/18903",3.67270413638338e-12,1.05378057096377e-08,7.93276602065233e-09,"2264/65009/3643/2046/51196/7010/1908/147/948/6997/1000/3340/6366/4908/2246/3672/55504/7422/6363/8600/146433/284/2261/858/2861/151/4920/153090/1464/25759/27202/388121/146/60370/134/5154/7042/650/64170/8325/10457/5031/6357/6283/10268/2149/152/9464/7098/148/7476/2146/1116/5156/2358/6376/23542/10913/6899/6361/11211/6364/4889/3481/151306/3489/5320/1398/116",69
"GO:0030593","GO:0030593","neutrophil chemotaxis","28/1070","106/18903",3.99159307183247e-12,1.05378057096377e-08,7.93276602065233e-09,"6372/5473/3577/3579/2919/1908/6366/3672/6363/1441/54210/5196/9353/27202/3680/6279/7042/6280/6357/6283/4192/2920/6376/4283/6361/7130/3929/6364",28
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","29/1070","118/18903",1.1648101688608e-11,2.05006589719501e-08,1.54327129740996e-08,"3643/1908/858/940/2069/4085/51203/55143/891/9212/1111/83540/9319/1063/701/7272/9787/11130/157313/286151/3481/6790/991/699/9700/332/5347/4751/4288",29
"GO:0051783","GO:0051783","regulation of nuclear division","32/1070","145/18903",2.22621958684471e-11,2.93860985463501e-08,2.212159252612e-08,"3643/10361/1908/858/940/2069/4085/4488/51203/55143/891/9212/1111/83540/9319/1063/701/7272/9787/11130/157313/286151/3481/6790/991/699/9700/332/5347/4751/4487/4288",32
"GO:0031589","GO:0031589","cell-substrate adhesion","55/1070","369/18903",4.2101216155164e-11,4.44588842598532e-08,3.34682509898735e-08,"22998/59277/3691/80005/11170/10319/7010/3673/10630/55679/948/8174/6366/3674/285/3672/6695/7422/2824/284/79834/558/1946/2523/395/4321/146183/6422/79778/3680/1842/7301/340706/1305/10894/3696/3037/4192/55612/347/55966/4059/22801/4680/3693/3681/6376/10516/5212/11117/2294/8516/4091/1398/9928",55
"GO:0034329","GO:0034329","cell junction assembly","60/1070","430/18903",8.5854831279984e-11,7.55522515263859e-08,5.6875060160214e-08,"22998/2045/27253/3691/2561/1501/28513/11170/7010/85358/2697/3673/84631/1000/1826/51208/7422/4038/187/2824/3909/857/79834/10082/145581/1946/2823/395/5364/6495/9080/421/4593/6422/79778/1009/389/23767/22941/6622/79191/79983/10052/4868/4897/5789/5317/347/6712/375790/7476/80139/27286/64084/869/56125/10804/10686/5457/151306",60
"GO:0140014","GO:0140014","mitotic nuclear division","50/1070","325/18903",1.04208587553268e-10,7.86030488973224e-08,5.9171673173104e-08,"3643/92421/10361/1908/858/940/57520/2069/4085/79075/51203/55143/891/157570/9212/23397/1111/83540/11004/29127/9319/113130/1063/22974/9232/3832/64151/701/81930/7272/9787/11130/157313/286151/3481/6790/991/699/56992/990/9700/332/10615/5347/11065/54443/1062/9928/4751/4288",50
"GO:0071621","GO:0071621","granulocyte chemotaxis","29/1070","130/18903",1.46141180042083e-10,9.60589495162554e-08,7.23123192530663e-08,"6372/5473/3577/3579/2919/1908/6366/3672/6363/1441/146433/54210/5196/9353/27202/3680/6279/7042/6280/6357/6283/4192/2920/6376/4283/6361/7130/3929/6364",29
"GO:0003007","GO:0003007","heart morphogenesis","43/1070","258/18903",1.63736845766344e-10,9.60589495162554e-08,7.23123192530663e-08,"140706/4846/65009/1482/3643/7010/7422/7472/187/8854/2627/6909/10512/9353/115701/64321/7139/7049/6474/6495/2050/6664/7042/650/6262/85366/3037/2296/9464/4886/4488/1363/23493/6899/2294/55273/4091/6423/4889/5457/6662/4487/27063",43
"GO:0060485","GO:0060485","mesenchyme development","48/1070","313/18903",2.76146537280553e-10,1.45805371684132e-07,1.09760981554881e-07,"6943/7490/4846/223117/1482/10501/1908/10630/1000/6934/5754/7472/187/8854/6909/10512/6405/153090/25805/7869/7049/6495/56920/6422/6664/7042/650/3037/116844/2296/4192/9464/2487/54756/4488/80237/2146/23493/80139/1947/6899/2294/55273/3249/147906/6423/6662/4487",48
