"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","80/1109","433/19869",1.20418077270016e-21,6.14132194077081e-19,4.60123811042272e-19,"79748/64093/59277/5046/3691/83872/10319/3918/79812/22915/81621/1000/57642/285/64129/7472/9370/3909/284/3910/5196/4060/2817/27299/10082/1946/284297/1464/341640/51435/1191/7869/439921/5104/6422/633/5199/6279/1805/7042/23452/1634/115908/1842/1893/1294/8425/7123/6280/340706/5858/1305/11096/5803/8406/1359/80144/2219/4192/131873/4059/375790/1690/5549/1288/27286/10516/51162/869/5212/11117/7177/10631/23213/8483/256158/64499/6423/1178/2162",80
"GO:0043025","GO:0043025","neuronal cell body","60/1109","497/19869",1.47112655338604e-08,3.75137271113441e-06,2.8106259941007e-06,"2045/1137/1393/1501/9312/4651/3643/6252/8633/1826/460/5563/7432/6623/3672/57282/10382/4038/6581/6863/11346/5152/4920/153090/4900/2823/2044/1524/146760/3745/134/22941/7042/6622/3752/8470/65078/1740/347/6712/306/6324/90249/9127/6376/477/6505/7345/23542/383/85442/22974/10381/8516/3759/55273/2893/3249/6790/116",60
"GO:0097060","GO:0097060","synaptic membrane","49/1109","378/19869",3.39843069817746e-08,5.77733218690169e-06,4.32852752083656e-06,"594855/2045/27253/1137/2561/5138/1132/84966/85358/57406/57497/1000/23025/4038/53826/80852/145581/6857/4900/2823/3745/4593/23767/134/22941/1134/6616/9066/3752/2913/1305/1131/4897/2149/1740/5789/148/9127/320/3359/27286/64084/869/57622/8516/2893/2894/2892/2568",49
"GO:0009897","GO:0009897","external side of plasma membrane","55/1109","462/19869",9.44508818681896e-08,1.20424874381942e-05,9.02254476793496e-06,"1137/80274/3643/3577/84966/3579/6403/3673/948/2028/460/3674/3672/7472/1441/135250/1493/3559/940/51744/50615/1946/10332/7049/2044/153579/1524/5104/3680/1271/339390/79908/8692/4897/2219/65078/64446/4059/22801/6401/6508/5156/3681/3501/8764/55576/4283/387837/1232/8516/30835/6338/3494/2206/762",55
"GO:0016324","GO:0016324","apical plasma membrane","46/1109","368/19869",2.61338740357021e-07,2.66565515164161e-05,1.99717816314944e-05,"5794/53405/3485/7010/2697/10630/948/6997/1000/79981/2028/57282/1464/481/6535/3745/146183/22941/83959/57619/1271/5745/222962/5031/9351/8692/8470/8972/6518/6712/55966/23428/4680/10568/6505/10804/495/6523/3249/5348/91703/259266/6338/6583/5172/762",46
"GO:0045211","GO:0045211","postsynaptic membrane","37/1109","269/19869",3.69963152806824e-07,3.14468679885801e-05,2.35608113103293e-05,"2045/27253/1137/2561/1132/84966/85358/57406/57497/1000/53826/80852/145581/4900/3745/4593/23767/134/22941/1134/3752/2913/1305/1131/4897/2149/1740/148/9127/3359/64084/869/57622/2893/2894/2892/2568",37
"GO:0008305","GO:0008305","integrin complex","11/1109","31/19869",4.69213152517895e-07,3.41855296834466e-05,2.56126878742851e-05,"3691/3673/3674/3672/3680/3696/22801/3693/3681/11117/8516",11
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","14/1109","52/19869",6.30873163348663e-07,4.02181641634772e-05,3.01324945125743e-05,"3691/3673/22915/3674/3672/1493/940/3680/3696/22801/3693/3681/11117/8516",14
"GO:0098802","GO:0098802","plasma membrane signaling receptor complex","40/1109","319/19869",1.43911334584182e-06,8.15497562643697e-05,6.10991981918807e-05,"1137/269/3691/3643/57406/3673/3674/2815/3672/3559/658/3680/650/1271/1134/28666/3696/10268/28691/22801/28677/28615/3693/28611/130399/3681/3359/28658/28576/11117/8516/2893/28646/28647/28659/28672/28567/2892/28568/28644",40
"GO:0005901","GO:0005901","caveola","17/1109","82/19869",2.26477770081696e-06,0.000104639448888343,7.83985963807399e-05,"4846/3643/147/948/858/857/1946/481/23209/3162/2149/84830/148/6401/477/81930/5348",17
