"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005539","GO:0005539","glycosaminoglycan binding","43/1074","237/18432",2.39083346934993e-11,2.13740512159884e-08,1.79438343541737e-08,"6372/64093/5046/2264/57408/3918/6403/64388/2246/7422/4023/23166/5196/9353/7049/5104/146760/6422/633/26279/1634/1842/8425/2252/7123/10457/1305/8692/11096/10894/65078/4192/375790/5549/55576/5212/10631/7130/8993/23213/5764/9388/3161",43
"GO:0005201","GO:0005201","extracellular matrix structural constituent","32/1074","173/18432",5.19942970071638e-09,2.32414507622022e-06,1.95115440874251e-06,"83872/3918/79812/22915/4586/64129/9370/3909/3910/4060/170392/633/1805/1634/115908/1893/1294/8425/1305/8406/80144/131873/375790/5549/1288/1116/27286/10516/11117/10631/8483/256158",32
"GO:0005178","GO:0005178","integrin binding","29/1074","156/18432",2.40089572236585e-08,7.15466925265023e-06,6.00645140367316e-06,"3691/3673/8174/3674/2246/3672/3909/3680/1842/8425/10457/11096/5803/3696/55612/9294/7103/22801/3693/3681/6376/10516/11117/8516/5764/6423/3481/85329/1015",29
"GO:0008201","GO:0008201","heparin binding","30/1074","171/18432",5.42856493718181e-08,1.21328426346013e-05,1.01857021058175e-05,"6372/64093/5046/2264/57408/3918/6403/64388/2246/7422/4023/5196/9353/7049/5104/146760/6422/26279/1842/2252/7123/10457/1305/11096/65078/4192/5549/10631/5764/9388",30
"GO:0050840","GO:0050840","extracellular matrix binding","16/1074","56/18432",7.2125987792839e-08,1.28961266173596e-05,1.08264903781672e-05,"64093/59277/169611/3673/3674/64129/7422/2817/9353/284297/633/1634/1893/11096/4059/375790",16
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","19/1074","79/18432",9.34210226518475e-08,1.39197323751253e-05,1.16858226580294e-05,"2045/269/2264/3643/2046/7010/2261/658/4920/558/7049/2044/2050/4593/8425/7301/4058/130399/5156",19
"GO:0019838","GO:0019838","growth factor binding","25/1074","132/18432",1.50641261975642e-07,1.92390411723177e-05,1.61514616223508e-05,"2045/5046/2264/3691/3643/3485/2046/948/81621/2261/3559/2817/9001/7049/5154/8425/8692/2615/130399/5156/27286/83888/3557/3489/7850",25
"GO:0048018","GO:0048018","receptor ligand activity","58/1074","491/18432",2.29630406776426e-07,2.56611979572657e-05,2.15429578988937e-05,"6372/2045/5473/223117/2257/10501/2919/4922/1908/64388/6997/6366/4908/8614/2246/146225/7432/7422/7472/6363/8600/9370/146433/8822/10512/5196/6405/1946/7869/56920/23767/5154/7042/650/2069/10435/2252/10457/6357/4192/2920/29948/7476/7038/1114/59067/4803/6376/7475/4283/6361/3458/5764/3557/6423/6364/3481/116",58
"GO:0001664","GO:0001664","G protein-coupled receptor binding","40/1074","289/18432",3.19707379734582e-07,3.17575997203018e-05,2.66609779825446e-05,"6372/5473/3691/2919/4922/1908/718/6366/185/5064/5029/7472/6363/6863/10763/5196/60675/9454/25805/1524/6422/134/115908/6357/9351/153/112609/2219/152/2920/9294/2357/7476/6376/7475/4283/7345/6361/6364/116",40
"GO:0030546","GO:0030546","signaling receptor activator activity","58/1074","498/18432",3.69894230417703e-07,3.30685441993426e-05,2.77615353987181e-05,"6372/2045/5473/223117/2257/10501/2919/4922/1908/64388/6997/6366/4908/8614/2246/146225/7432/7422/7472/6363/8600/9370/146433/8822/10512/5196/6405/1946/7869/56920/23767/5154/7042/650/2069/10435/2252/10457/6357/4192/2920/29948/7476/7038/1114/59067/4803/6376/7475/4283/6361/3458/5764/3557/6423/6364/3481/116",58
"GO:0015267","GO:0015267","channel activity","56/1074","494/18432",1.39151528278949e-06,0.000110468518613659,9.2739966762674e-05,"79400/1137/53405/2561/776/9312/2697/3768/360/10242/1259/11280/366/115111/57030/57156/2823/3772/3745/57582/3762/285175/83959/1134/6616/10052/56666/6262/6332/3752/6263/57101/6324/55283/9127/80036/7881/3359/30818/3777/6505/6330/10804/6335/9033/3759/30820/2893/5348/63982/2894/3773/6338/2892/2568/8913",56
"GO:0022803","GO:0022803","passive transmembrane transporter activity","56/1074","495/18432",1.48279890756589e-06,0.000110468518613659,9.2739966762674e-05,"79400/1137/53405/2561/776/9312/2697/3768/360/10242/1259/11280/366/115111/57030/57156/2823/3772/3745/57582/3762/285175/83959/1134/6616/10052/56666/6262/6332/3752/6263/57101/6324/55283/9127/80036/7881/3359/30818/3777/6505/6330/10804/6335/9033/3759/30820/2893/5348/63982/2894/3773/6338/2892/2568/8913",56
"GO:0005216","GO:0005216","ion channel activity","51/1074","446/18432",3.1899076140243e-06,0.000219367492841363,0.000184162277635573,"79400/1137/53405/2561/776/9312/3768/10242/1259/11280/115111/57030/57156/2823/3772/3745/57582/3762/285175/83959/1134/6616/10052/6262/6332/3752/6263/57101/6324/55283/9127/80036/7881/3359/30818/3777/6505/6330/6335/9033/3759/30820/2893/5348/63982/2894/3773/6338/2892/2568/8913",51
"GO:0022836","GO:0022836","gated channel activity","42/1074","341/18432",3.70145899490732e-06,0.000236364595817653,0.000198431598749543,"1137/53405/2561/776/9312/3768/10242/1259/11280/57156/3772/3745/57582/3762/1134/6616/6262/6332/3752/6263/57101/6324/55283/9127/80036/7881/3359/30818/3777/6330/6335/9033/3759/30820/2893/63982/2894/3773/6338/2892/2568/8913",42
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","14/1074","60/18432",6.65690742992562e-06,0.000396751682823567,0.000333078947195577,"2045/2264/3643/2046/7010/2261/4920/558/2044/2050/4593/7301/4058/5156",14
"GO:1901681","GO:1901681","sulfur compound binding","35/1074","270/18432",7.67415281162977e-06,0.000428793288349813,0.00035997835228237,"6372/64093/5046/2264/57408/3918/6403/3673/64388/2246/8435/7422/4023/5196/9353/7049/5104/146760/6422/26279/1842/2252/7123/10457/6262/1305/11096/65078/4192/375790/5549/10631/5764/10468/9388",35
"GO:0098631","GO:0098631","cell adhesion mediator activity","14/1074","64/18432",1.47654847432988e-05,0.0007764907859123,0.000651875580307865,"128434/3673/8174/1826/3672/57549/57453/54538/342035/4897/4059/22801/284359/11117",14
"GO:0008009","GO:0008009","chemokine activity","12/1074","49/18432",1.7836674279079e-05,0.000843373586521282,0.000708024687612945,"6372/5473/2919/6366/6363/5196/6357/2920/6376/4283/6361/6364",12
"GO:0043236","GO:0043236","laminin binding","9/1074","28/18432",1.88674180429817e-05,0.000843373586521282,0.000708024687612945,"59277/3673/64129/2817/9353/284297/1893/4059/375790",9
"GO:0045499","GO:0045499","chemorepellent activity","9/1074","28/18432",1.88674180429817e-05,0.000843373586521282,0.000708024687612945,"2045/223117/10501/10512/6405/1946/7869/56920/23767",9
"GO:0008574","GO:0008574","plus-end-directed microtubule motor activity","7/1074","17/18432",2.59360713299221e-05,0.00110413560804526,0.000926938288633307,"57576/124602/547/3832/81930/1062/9928",7
