pathway,gene
KEGG_ABC_TRANSPORTERS,10351
KEGG_ABC_TRANSPORTERS,23460
KEGG_ABC_TRANSPORTERS,10057
KEGG_ABC_TRANSPORTERS,20
KEGG_ABC_TRANSPORTERS,215
KEGG_ACUTE_MYELOID_LEUKEMIA,6934
KEGG_ACUTE_MYELOID_LEUKEMIA,595
KEGG_ACUTE_MYELOID_LEUKEMIA,51176
KEGG_ACUTE_MYELOID_LEUKEMIA,5914
KEGG_ACUTE_MYELOID_LEUKEMIA,6932
KEGG_ADHERENS_JUNCTION,3643
KEGG_ADHERENS_JUNCTION,5787
KEGG_ADHERENS_JUNCTION,6934
KEGG_ADHERENS_JUNCTION,7525
KEGG_ADHERENS_JUNCTION,81
KEGG_ADHERENS_JUNCTION,4008
KEGG_ADHERENS_JUNCTION,51176
KEGG_ADHERENS_JUNCTION,10580
KEGG_ADHERENS_JUNCTION,4233
KEGG_ADHERENS_JUNCTION,10458
KEGG_ADHERENS_JUNCTION,7414
KEGG_ADHERENS_JUNCTION,6714
KEGG_ADHERENS_JUNCTION,2260
KEGG_ADHERENS_JUNCTION,6932
KEGG_ADHERENS_JUNCTION,1956
KEGG_ADHERENS_JUNCTION,1500
KEGG_ADHERENS_JUNCTION,10810
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,948
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,5563
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,9370
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,5602
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,23305
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,5588
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,6256
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,8660
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,3953
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,9021
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,9945
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,91703
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,1373
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,7915
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,443
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,3643
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,481
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,9351
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,3291
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,477
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,8660
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,482
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,6338
KEGG_ALLOGRAFT_REJECTION,940
KEGG_ALLOGRAFT_REJECTION,959
KEGG_ALLOGRAFT_REJECTION,3458
KEGG_ALLOGRAFT_REJECTION,3586
KEGG_ALLOGRAFT_REJECTION,3133
KEGG_ALZHEIMERS_DISEASE,776
KEGG_ALZHEIMERS_DISEASE,4023
KEGG_ALZHEIMERS_DISEASE,5331
KEGG_ALZHEIMERS_DISEASE,6622
KEGG_ALZHEIMERS_DISEASE,775
KEGG_ALZHEIMERS_DISEASE,6263
KEGG_ALZHEIMERS_DISEASE,56901
KEGG_ALZHEIMERS_DISEASE,23621
KEGG_ALZHEIMERS_DISEASE,1346
KEGG_ALZHEIMERS_DISEASE,2597
KEGG_ALZHEIMERS_DISEASE,836
KEGG_ALZHEIMERS_DISEASE,4035
KEGG_ALZHEIMERS_DISEASE,84701
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,3101
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,1118
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,9945
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,5973
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,2582
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,5961
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,6506
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,836
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3306
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3824
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,925
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3310
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3822
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3821
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3133
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,926
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3823
KEGG_APOPTOSIS,5566
KEGG_APOPTOSIS,8794
KEGG_APOPTOSIS,5577
KEGG_APOPTOSIS,23052
KEGG_APOPTOSIS,11213
KEGG_APOPTOSIS,5575
KEGG_APOPTOSIS,843
KEGG_APOPTOSIS,4803
KEGG_APOPTOSIS,836
KEGG_APOPTOSIS,330
KEGG_ARACHIDONIC_ACID_METABOLISM,4051
KEGG_ARACHIDONIC_ACID_METABOLISM,26279
KEGG_ARACHIDONIC_ACID_METABOLISM,6916
KEGG_ARACHIDONIC_ACID_METABOLISM,9536
KEGG_ARACHIDONIC_ACID_METABOLISM,8644
KEGG_ARACHIDONIC_ACID_METABOLISM,5320
KEGG_ARACHIDONIC_ACID_METABOLISM,5743
KEGG_ARACHIDONIC_ACID_METABOLISM,4056
KEGG_ARGININE_AND_PROLINE_METABOLISM,4846
KEGG_ARGININE_AND_PROLINE_METABOLISM,8974
KEGG_ARGININE_AND_PROLINE_METABOLISM,4843
KEGG_ARGININE_AND_PROLINE_METABOLISM,4129
KEGG_ARGININE_AND_PROLINE_METABOLISM,383
KEGG_ARGININE_AND_PROLINE_METABOLISM,1373
KEGG_ARGININE_AND_PROLINE_METABOLISM,4953
KEGG_ARGININE_AND_PROLINE_METABOLISM,283208
KEGG_ARGININE_AND_PROLINE_METABOLISM,5831
KEGG_ARGININE_AND_PROLINE_METABOLISM,79814
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3691
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,776
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,2697
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3673
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1000
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3674
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,6934
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3672
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,81
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3680
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,775
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,6262
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3696
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,51176
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,22801
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3693
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3675
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3655
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,6442
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3690
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,3908
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,8516
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1829
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,6444
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,6932
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1756
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1674
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,6546
KEGG_ASTHMA,959
KEGG_ASTHMA,3586
KEGG_ASTHMA,2206
KEGG_ASTHMA,2207
KEGG_AUTOIMMUNE_THYROID_DISEASE,7173
KEGG_AUTOIMMUNE_THYROID_DISEASE,1493
KEGG_AUTOIMMUNE_THYROID_DISEASE,940
KEGG_AUTOIMMUNE_THYROID_DISEASE,7038
KEGG_AUTOIMMUNE_THYROID_DISEASE,959
KEGG_AUTOIMMUNE_THYROID_DISEASE,3586
KEGG_AUTOIMMUNE_THYROID_DISEASE,3133
KEGG_AXON_GUIDANCE,2045
KEGG_AXON_GUIDANCE,84448
KEGG_AXON_GUIDANCE,59277
KEGG_AXON_GUIDANCE,223117
KEGG_AXON_GUIDANCE,2046
KEGG_AXON_GUIDANCE,10501
KEGG_AXON_GUIDANCE,8633
KEGG_AXON_GUIDANCE,10512
KEGG_AXON_GUIDANCE,6405
KEGG_AXON_GUIDANCE,9353
KEGG_AXON_GUIDANCE,2242
KEGG_AXON_GUIDANCE,1946
KEGG_AXON_GUIDANCE,7869
KEGG_AXON_GUIDANCE,2044
KEGG_AXON_GUIDANCE,5364
KEGG_AXON_GUIDANCE,2050
KEGG_AXON_GUIDANCE,56920
KEGG_AXON_GUIDANCE,23654
KEGG_AXON_GUIDANCE,2042
KEGG_AXON_GUIDANCE,54910
KEGG_AXON_GUIDANCE,90249
KEGG_AXON_GUIDANCE,4233
KEGG_AXON_GUIDANCE,1808
KEGG_AXON_GUIDANCE,1947
KEGG_AXON_GUIDANCE,57522
KEGG_AXON_GUIDANCE,57556
KEGG_AXON_GUIDANCE,3983
KEGG_AXON_GUIDANCE,2041
KEGG_AXON_GUIDANCE,10298
KEGG_AXON_GUIDANCE,8829
KEGG_AXON_GUIDANCE,64221
KEGG_AXON_GUIDANCE,219699
KEGG_AXON_GUIDANCE,6586
KEGG_AXON_GUIDANCE,1949
KEGG_AXON_GUIDANCE,54437
KEGG_BASAL_CELL_CARCINOMA,6934
KEGG_BASAL_CELL_CARCINOMA,7472
KEGG_BASAL_CELL_CARCINOMA,650
KEGG_BASAL_CELL_CARCINOMA,8325
KEGG_BASAL_CELL_CARCINOMA,51176
KEGG_BASAL_CELL_CARCINOMA,7476
KEGG_BASAL_CELL_CARCINOMA,7475
KEGG_BASAL_CELL_CARCINOMA,7976
KEGG_BASAL_CELL_CARCINOMA,1855
KEGG_BASAL_CELL_CARCINOMA,11211
KEGG_BASAL_CELL_CARCINOMA,6932
KEGG_BASAL_CELL_CARCINOMA,8321
KEGG_BASAL_CELL_CARCINOMA,8313
KEGG_BASE_EXCISION_REPAIR,5111
KEGG_BASE_EXCISION_REPAIR,4968
KEGG_BASE_EXCISION_REPAIR,2237
KEGG_BASE_EXCISION_REPAIR,55247
KEGG_BASE_EXCISION_REPAIR,142
KEGG_BASE_EXCISION_REPAIR,5427
KEGG_BLADDER_CANCER,595
KEGG_BLADDER_CANCER,7422
KEGG_BLADDER_CANCER,2261
KEGG_BLADDER_CANCER,4318
KEGG_BLADDER_CANCER,1869
KEGG_BLADDER_CANCER,5228
KEGG_BLADDER_CANCER,23604
KEGG_BLADDER_CANCER,1956
KEGG_BLADDER_CANCER,1870
KEGG_BLADDER_CANCER,1029
KEGG_BUTANOATE_METABOLISM,35
KEGG_BUTANOATE_METABOLISM,39
KEGG_BUTANOATE_METABOLISM,5019
KEGG_BUTANOATE_METABOLISM,7915
KEGG_BUTANOATE_METABOLISM,54988
KEGG_BUTANOATE_METABOLISM,341392
KEGG_CALCIUM_SIGNALING_PATHWAY,4846
KEGG_CALCIUM_SIGNALING_PATHWAY,776
KEGG_CALCIUM_SIGNALING_PATHWAY,51196
KEGG_CALCIUM_SIGNALING_PATHWAY,147
KEGG_CALCIUM_SIGNALING_PATHWAY,5566
KEGG_CALCIUM_SIGNALING_PATHWAY,6869
KEGG_CALCIUM_SIGNALING_PATHWAY,185
KEGG_CALCIUM_SIGNALING_PATHWAY,6915
KEGG_CALCIUM_SIGNALING_PATHWAY,5331
KEGG_CALCIUM_SIGNALING_PATHWAY,146
